Bloco,Metodo,Iluminacao,AprilTag,N,Acuracia_Euclidiana,Repetibilidade_Euclidiana,log_Acuracia,log_Repetibilidade
B1,Tsai,Low,1,30,1.4155694329939579,0.0346260273847797,0.34753187628836385,-3.363149643123362
B1,Tsai,Low,2,30,1.7582041065200742,0.035238455444571465,0.564292894071546,-3.3456173084555347
B1,Tsai,Low,3,26,1.9385569781647625,0.027329051516240453,0.6619438706119016,-3.599804984465446
B1,Tsai,Low,4,30,2.7969134071828443,0.020538024353189285,1.0285164545642616,-3.8854772643955924
B1,Tsai,Low,5,30,3.223093711429802,0.041897879059562555,1.170341678250136,-3.1725200724148865
B2,Tsai,Medium,1,30,1.4235803624025494,0.03627551590274674,0.35317508023700295,-3.3166122582938105
B2,Tsai,Medium,2,30,1.7543102898544345,0.02803139787633386,0.5620757824408075,-3.5744300442914048
B2,Tsai,Medium,3,29,1.9621740784334165,0.025070034014416164,0.6740530821993994,-3.6860820099952982
B2,Tsai,Medium,4,28,2.78920625075753,0.022209253523055472,1.0257570574200483,-3.8072462515435768
B2,Tsai,Medium,5,30,3.132554406196397,0.05062178096596043,1.141848775936508,-2.9833733414149175
B3,Tsai,High,1,28,1.4262658047904002,0.034631140873535284,0.35505970349394267,-3.363001976422764
B3,Tsai,High,2,30,1.749230896661019,0.027136749819439795,0.5591762037107296,-3.6068663878101264
B3,Tsai,High,3,29,1.948993038117483,0.01609879236097285,0.6673128484915853,-4.129011018378119
B3,Tsai,High,4,30,2.770171311580821,0.02087129889653084,1.0189091636233008,-3.8693803222862995
B3,Tsai,High,5,29,3.1681172673230713,0.053800111560577193,1.153137489467877,-2.9224797381812846
B4,Parkin,Low,1,28,1.4178008351716618,0.02726983395158306,0.34910696350100034,-3.601974171157367
B4,Parkin,Low,2,30,1.759808773380348,0.056846128363536794,0.5652051516591895,-2.867407163751353
B4,Parkin,Low,3,27,1.9642908433269606,0.03147752469333304,0.675131286202638,-3.4584814895812834
B4,Parkin,Low,4,30,2.7687699307715627,0.030655414949169978,1.0184031532585602,-3.484945961725679
B4,Parkin,Low,5,30,3.194915497600876,0.042664152973220106,1.1615606391548137,-3.1543962201328832
B5,Parkin,Medium,1,28,1.3975660062824944,0.030810888537725976,0.3347321566193887,-3.4798871274928787
B5,Parkin,Medium,2,30,1.7072097714066747,0.03598318708197307,0.5348603251945171,-3.3247034750893603
B5,Parkin,Medium,3,30,1.9357937759127675,0.01982398182914743,0.6605174624749534,-3.9208628706541124
B5,Parkin,Medium,4,30,2.7352275866328477,0.026191337233589185,1.0062146450751615,-3.642326562789686
B5,Parkin,Medium,5,29,3.091991471142189,0.04044357624092798,1.1288153723588839,-3.2078474554577623
B6,Parkin,High,1,28,1.4175258994876538,0.028042596290228122,0.34891302769705324,-3.574030628690316
B6,Parkin,High,2,30,1.7173097955515857,0.07394393199748875,0.5407589940341445,-2.604448148655365
B6,Parkin,High,3,29,1.9336041303413105,0.026829426280669144,0.6593856864941755,-3.618255998236926
B6,Parkin,High,4,27,2.747119907552013,0.028988009712363535,1.0105530565256178,-3.5408729926529334
B6,Parkin,High,5,29,3.156087231586644,0.03866979516868071,1.1493330425216917,-3.252696470256176
B7,XC2,Low,1,30,1.454577023892502,0.03574151855843008,0.37471515313266657,-3.33144228108158
B7,XC2,Low,2,30,1.8156829805773735,0.08415889953720851,0.5964616947738627,-2.475048605907498
B7,XC2,Low,3,30,1.9731013187193427,0.029203823847601527,0.6796065783425264,-3.5334556245623605
B7,XC2,Low,4,29,2.8106138111706707,0.027604687505127658,1.0334028976309024,-3.589769683501195
B7,XC2,Low,5,28,3.2263812427664837,0.047957593043474876,1.1713611508877575,-3.037438136811267
B8,XC2,Medium,1,29,1.4606419924145244,0.036922289785123595,0.37887605990392215,-3.298939851061461
B8,XC2,Medium,2,30,1.7592819829925785,0.03565046437018947,0.5649057616018288,-3.333993106366851
B8,XC2,Medium,3,29,1.9778952133649894,0.026762600307519,0.6820332557436449,-3.620749876973631
B8,XC2,Medium,4,30,2.76475815329684,0.0277469169899959,1.0169531639871014,-3.584630544385263
B8,XC2,Medium,5,30,3.142773860374322,0.04221204968672779,1.1451058049804101,-3.1650495610743987
B9,XC2,High,1,27,1.4512408305523932,0.02792485852532974,0.3724189357005416,-3.578238000240969
B9,XC2,High,2,30,1.7636438414942694,0.03581676270258162,0.567382033285014,-3.3293392632182317
B9,XC2,High,3,30,1.9898075631885714,0.021006919173572565,0.6880379321456812,-3.8629034110233578
B9,XC2,High,4,30,2.7812039658193104,0.026469456369466106,1.0228839151802644,-3.6317638005261412
B9,XC2,High,5,29,3.19180086740432,0.041258520998105244,1.160585292743461,-3.187897617858746
